attendance_id,student_id,date,subject,status
ATT000001,STU0001,2026-01-29,Python,Present
ATT000002,STU0001,2026-04-04,Python,Present
ATT000003,STU0001,2026-01-03,Web Development,Present
ATT000004,STU0001,2026-06-20,Networks,Present
ATT000005,STU0001,2026-03-11,DBMS,Absent
ATT000006,STU0001,2026-03-13,Networks,Present
ATT000007,STU0001,2026-01-24,Python,Present
ATT000008,STU0001,2026-03-20,DBMS,Absent
ATT000009,STU0001,2026-05-09,DBMS,Absent
ATT000010,STU0001,2026-06-29,Python,Absent
ATT000011,STU0001,2026-06-16,Python,Present
ATT000012,STU0001,2026-03-23,Python,Present
ATT000013,STU0001,2026-08-14,DBMS,Present
ATT000014,STU0001,2026-05-04,Python,Present
ATT000015,STU0001,2026-02-10,Networks,Present
ATT000016,STU0001,2026-02-16,DBMS,Present
ATT000017,STU0001,2026-04-27,Networks,Absent
ATT000018,STU0001,2026-07-24,Python,Present
ATT000019,STU0001,2026-01-06,DBMS,Absent
ATT000020,STU0001,2026-06-13,DBMS,Present
ATT000021,STU0001,2026-08-12,Python,Absent
ATT000022,STU0001,2026-04-21,Python,Present
ATT000023,STU0001,2026-07-14,Web Development,Absent
ATT000024,STU0001,2026-08-16,Networks,Present
ATT000025,STU0001,2026-06-22,Python,Present
ATT000026,STU0001,2026-04-28,Python,Present
ATT000027,STU0001,2026-05-17,Python,Present
ATT000028,STU0001,2026-04-12,Python,Absent
ATT000029,STU0001,2026-05-08,Web Development,Present
ATT000030,STU0001,2026-05-18,DBMS,Absent
ATT000031,STU0001,2026-06-07,Networks,Present
ATT000032,STU0001,2026-05-06,Web Development,Present
ATT000033,STU0001,2026-01-08,Web Development,Present
ATT000034,STU0001,2026-07-26,Networks,Present
ATT000035,STU0001,2026-07-18,Networks,Present
ATT000036,STU0001,2026-05-30,Web Development,Present
ATT000037,STU0001,2026-05-10,Web Development,Absent
ATT000038,STU0001,2026-05-14,Networks,Present
ATT000039,STU0001,2026-04-25,Web Development,Present
ATT000040,STU0001,2026-03-01,Python,Present
ATT000041,STU0001,2026-08-18,DBMS,Present
ATT000042,STU0001,2026-07-16,Networks,Present
ATT000043,STU0001,2026-06-03,Networks,Present
ATT000044,STU0001,2026-05-22,DBMS,Present
ATT000045,STU0001,2026-02-03,Python,Present
ATT000046,STU0001,2026-08-24,Networks,Present
ATT000047,STU0001,2026-07-27,DBMS,Present
ATT000048,STU0001,2026-08-03,DBMS,Present
ATT000049,STU0001,2026-05-16,Python,Present
ATT000050,STU0001,2026-04-30,Web Development,Present
ATT000051,STU0002,2026-05-12,Power Systems,Present
ATT000052,STU0002,2026-03-05,Machines,Absent
ATT000053,STU0002,2026-05-19,Machines,Present
ATT000054,STU0002,2026-05-03,Power Systems,Absent
ATT000055,STU0002,2026-06-22,Power Systems,Absent
ATT000056,STU0002,2026-04-10,Machines,Present
ATT000057,STU0002,2026-02-16,Power Systems,Present
ATT000058,STU0002,2026-07-30,Circuits,Absent
ATT000059,STU0002,2026-02-18,Machines,Present
ATT000060,STU0002,2026-03-02,Machines,Present
ATT000061,STU0002,2026-01-14,Power Systems,Present
ATT000062,STU0002,2026-01-28,Machines,Present
ATT000063,STU0002,2026-02-28,Machines,Present
ATT000064,STU0002,2026-05-21,Machines,Present
ATT000065,STU0002,2026-03-20,Machines,Present
ATT000066,STU0002,2026-06-17,Circuits,Absent
ATT000067,STU0002,2026-03-14,Control Systems,Present
ATT000068,STU0002,2026-01-19,Circuits,Present
ATT000069,STU0002,2026-07-02,Circuits,Present
ATT000070,STU0002,2026-04-26,Circuits,Absent
ATT000071,STU0002,2026-07-05,Circuits,Present
ATT000072,STU0002,2026-04-01,Control Systems,Present
ATT000073,STU0002,2026-01-09,Power Systems,Present
ATT000074,STU0002,2026-08-29,Control Systems,Present
ATT000075,STU0002,2026-01-26,Circuits,Present
ATT000076,STU0002,2026-05-01,Circuits,Present
ATT000077,STU0002,2026-03-26,Power Systems,Present
ATT000078,STU0002,2026-07-25,Machines,Present
ATT000079,STU0002,2026-04-21,Control Systems,Present
ATT000080,STU0002,2026-01-16,Machines,Present
ATT000081,STU0002,2026-07-14,Power Systems,Present
ATT000082,STU0002,2026-05-08,Machines,Absent
ATT000083,STU0002,2026-03-30,Machines,Absent
ATT000084,STU0002,2026-07-21,Control Systems,Present
ATT000085,STU0002,2026-05-16,Power Systems,Absent
ATT000086,STU0002,2026-07-27,Machines,Absent
ATT000087,STU0002,2026-01-30,Circuits,Present
ATT000088,STU0002,2026-08-10,Circuits,Absent
ATT000089,STU0002,2026-04-04,Machines,Present
ATT000090,STU0002,2026-08-24,Power Systems,Present
ATT000091,STU0002,2026-06-24,Control Systems,Present
ATT000092,STU0002,2026-04-28,Control Systems,Absent
ATT000093,STU0002,2026-08-01,Machines,Present
ATT000094,STU0002,2026-02-02,Control Systems,Present
ATT000095,STU0002,2026-02-06,Circuits,Present
ATT000096,STU0002,2026-01-08,Circuits,Present
ATT000097,STU0002,2026-01-29,Control Systems,Present
ATT000098,STU0002,2026-07-18,Circuits,Present
ATT000099,STU0002,2026-03-06,Power Systems,Present
ATT000100,STU0002,2026-05-10,Control Systems,Present
ATT000101,STU0003,2026-05-04,Mechanics,Present
ATT000102,STU0003,2026-04-21,Manufacturing,Present
ATT000103,STU0003,2026-04-02,CAD,Present
ATT000104,STU0003,2026-02-26,CAD,Present
ATT000105,STU0003,2026-08-24,CAD,Absent
ATT000106,STU0003,2026-06-30,CAD,Present
ATT000107,STU0003,2026-04-04,Mechanics,Present
ATT000108,STU0003,2026-06-11,Manufacturing,Present
ATT000109,STU0003,2026-04-05,Mechanics,Present
ATT000110,STU0003,2026-07-17,Thermodynamics,Present
ATT000111,STU0003,2026-08-05,Manufacturing,Present
ATT000112,STU0003,2026-01-08,Manufacturing,Present
ATT000113,STU0003,2026-04-18,Manufacturing,Present
ATT000114,STU0003,2026-01-23,CAD,Present
ATT000115,STU0003,2026-03-04,CAD,Present
ATT000116,STU0003,2026-06-24,Manufacturing,Absent
ATT000117,STU0003,2026-06-22,Mechanics,Present
ATT000118,STU0003,2026-03-03,Thermodynamics,Present
ATT000119,STU0003,2026-08-28,Mechanics,Present
ATT000120,STU0003,2026-05-20,Mechanics,Present
ATT000121,STU0003,2026-03-22,Mechanics,Present
ATT000122,STU0003,2026-05-14,CAD,Absent
ATT000123,STU0003,2026-05-11,CAD,Present
ATT000124,STU0003,2026-07-28,CAD,Absent
ATT000125,STU0003,2026-01-13,Manufacturing,Present
ATT000126,STU0003,2026-08-10,CAD,Present
ATT000127,STU0003,2026-05-16,CAD,Present
ATT000128,STU0003,2026-02-03,Thermodynamics,Present
ATT000129,STU0003,2026-01-19,Manufacturing,Present
ATT000130,STU0003,2026-05-23,CAD,Present
ATT000131,STU0003,2026-04-16,CAD,Present
ATT000132,STU0003,2026-08-21,Mechanics,Present
ATT000133,STU0003,2026-07-08,CAD,Present
ATT000134,STU0003,2026-08-22,Thermodynamics,Absent
ATT000135,STU0003,2026-04-24,Mechanics,Absent
ATT000136,STU0003,2026-02-07,Thermodynamics,Present
ATT000137,STU0003,2026-02-09,Mechanics,Present
ATT000138,STU0003,2026-03-05,Manufacturing,Present
ATT000139,STU0003,2026-07-11,Mechanics,Present
ATT000140,STU0003,2026-06-06,CAD,Present
ATT000141,STU0003,2026-08-11,Mechanics,Present
ATT000142,STU0003,2026-08-19,CAD,Present
ATT000143,STU0003,2026-07-12,Manufacturing,Present
ATT000144,STU0003,2026-04-09,Mechanics,Absent
ATT000145,STU0003,2026-04-06,Thermodynamics,Present
ATT000146,STU0003,2026-08-15,Mechanics,Present
ATT000147,STU0003,2026-05-27,Manufacturing,Present
ATT000148,STU0003,2026-02-02,Thermodynamics,Present
ATT000149,STU0003,2026-07-03,Thermodynamics,Absent
ATT000150,STU0003,2026-01-09,CAD,Present
ATT000151,STU0004,2026-03-21,DBMS,Present
ATT000152,STU0004,2026-07-23,DBMS,Present
ATT000153,STU0004,2026-05-25,DBMS,Absent
ATT000154,STU0004,2026-03-23,DBMS,Present
ATT000155,STU0004,2026-02-24,Web Development,Present
ATT000156,STU0004,2026-06-08,Networks,Present
ATT000157,STU0004,2026-04-06,DBMS,Present
ATT000158,STU0004,2026-03-12,DBMS,Present
ATT000159,STU0004,2026-06-11,Web Development,Absent
ATT000160,STU0004,2026-03-24,Python,Present
ATT000161,STU0004,2026-01-07,DBMS,Present
ATT000162,STU0004,2026-01-14,DBMS,Present
ATT000163,STU0004,2026-03-09,Python,Present
ATT000164,STU0004,2026-06-21,Python,Present
ATT000165,STU0004,2026-08-22,Web Development,Present
ATT000166,STU0004,2026-01-10,Networks,Absent
ATT000167,STU0004,2026-05-16,Networks,Absent
ATT000168,STU0004,2026-02-22,Python,Present
ATT000169,STU0004,2026-07-06,DBMS,Present
ATT000170,STU0004,2026-07-28,Python,Present
ATT000171,STU0004,2026-01-04,Python,Present
ATT000172,STU0004,2026-06-12,Web Development,Present
ATT000173,STU0004,2026-02-28,Web Development,Present
ATT000174,STU0004,2026-02-05,DBMS,Present
ATT000175,STU0004,2026-04-12,Python,Present
ATT000176,STU0004,2026-08-26,DBMS,Present
ATT000177,STU0004,2026-08-24,Web Development,Present
ATT000178,STU0004,2026-04-28,Networks,Present
ATT000179,STU0004,2026-04-21,DBMS,Present
ATT000180,STU0004,2026-04-08,DBMS,Present
ATT000181,STU0004,2026-01-15,Networks,Present
ATT000182,STU0004,2026-04-20,DBMS,Present
ATT000183,STU0004,2026-08-19,DBMS,Present
ATT000184,STU0004,2026-07-31,Web Development,Present
ATT000185,STU0004,2026-07-27,DBMS,Absent
ATT000186,STU0004,2026-08-07,Web Development,Present
ATT000187,STU0004,2026-02-25,Python,Present
ATT000188,STU0004,2026-01-16,Web Development,Present
ATT000189,STU0004,2026-02-18,Python,Absent
ATT000190,STU0004,2026-08-13,Web Development,Present
ATT000191,STU0004,2026-01-08,Web Development,Present
ATT000192,STU0004,2026-08-06,Networks,Present
ATT000193,STU0004,2026-04-24,Networks,Absent
ATT000194,STU0004,2026-08-02,Web Development,Present
ATT000195,STU0004,2026-02-23,Python,Absent
ATT000196,STU0004,2026-07-11,Web Development,Present
ATT000197,STU0004,2026-03-16,DBMS,Present
ATT000198,STU0004,2026-08-10,Networks,Present
ATT000199,STU0004,2026-02-16,Networks,Present
ATT000200,STU0004,2026-07-18,Web Development,Present
ATT000201,STU0005,2026-08-31,Signals,Present
ATT000202,STU0005,2026-05-25,Networks,Present
ATT000203,STU0005,2026-03-15,Networks,Present
ATT000204,STU0005,2026-02-15,Signals,Absent
ATT000205,STU0005,2026-01-13,Digital Electronics,Present
ATT000206,STU0005,2026-02-07,Signals,Present
ATT000207,STU0005,2026-05-02,Microprocessors,Present
ATT000208,STU0005,2026-02-20,Signals,Present
ATT000209,STU0005,2026-04-08,Microprocessors,Present
ATT000210,STU0005,2026-01-17,Networks,Present
ATT000211,STU0005,2026-02-01,Signals,Present
ATT000212,STU0005,2026-02-24,Digital Electronics,Present
ATT000213,STU0005,2026-08-22,Microprocessors,Present
ATT000214,STU0005,2026-03-18,Networks,Present
ATT000215,STU0005,2026-03-09,Digital Electronics,Absent
ATT000216,STU0005,2026-04-19,Signals,Present
ATT000217,STU0005,2026-03-14,Microprocessors,Present
ATT000218,STU0005,2026-06-13,Digital Electronics,Absent
ATT000219,STU0005,2026-05-13,Digital Electronics,Present
ATT000220,STU0005,2026-08-20,Signals,Present
ATT000221,STU0005,2026-07-11,Signals,Present
ATT000222,STU0005,2026-08-15,Networks,Present
ATT000223,STU0005,2026-01-01,Digital Electronics,Present
ATT000224,STU0005,2026-04-04,Networks,Present
ATT000225,STU0005,2026-02-23,Signals,Present
ATT000226,STU0005,2026-07-04,Digital Electronics,Present
ATT000227,STU0005,2026-04-27,Microprocessors,Absent
ATT000228,STU0005,2026-08-24,Digital Electronics,Present
ATT000229,STU0005,2026-06-11,Networks,Present
ATT000230,STU0005,2026-05-08,Microprocessors,Present
ATT000231,STU0005,2026-03-01,Signals,Present
ATT000232,STU0005,2026-02-05,Microprocessors,Present
ATT000233,STU0005,2026-05-30,Microprocessors,Present
ATT000234,STU0005,2026-06-02,Digital Electronics,Present
ATT000235,STU0005,2026-06-22,Microprocessors,Present
ATT000236,STU0005,2026-08-05,Microprocessors,Present
ATT000237,STU0005,2026-08-02,Networks,Present
ATT000238,STU0005,2026-07-14,Microprocessors,Present
ATT000239,STU0005,2026-01-03,Signals,Present
ATT000240,STU0005,2026-01-22,Microprocessors,Present
ATT000241,STU0005,2026-08-28,Digital Electronics,Absent
ATT000242,STU0005,2026-03-05,Networks,Present
ATT000243,STU0005,2026-06-23,Microprocessors,Present
ATT000244,STU0005,2026-02-02,Networks,Absent
ATT000245,STU0005,2026-07-29,Microprocessors,Present
ATT000246,STU0005,2026-07-01,Digital Electronics,Present
ATT000247,STU0005,2026-03-21,Digital Electronics,Present
ATT000248,STU0005,2026-02-25,Networks,Present
ATT000249,STU0005,2026-08-04,Microprocessors,Absent
ATT000250,STU0005,2026-01-10,Signals,Present
ATT000251,STU0006,2026-03-07,Thermodynamics,Absent
ATT000252,STU0006,2026-03-13,Thermodynamics,Absent
ATT000253,STU0006,2026-05-08,Manufacturing,Present
ATT000254,STU0006,2026-05-14,CAD,Present
ATT000255,STU0006,2026-04-18,Mechanics,Absent
ATT000256,STU0006,2026-03-21,Mechanics,Absent
ATT000257,STU0006,2026-08-14,Mechanics,Present
ATT000258,STU0006,2026-08-28,Manufacturing,Present
ATT000259,STU0006,2026-01-26,Thermodynamics,Present
ATT000260,STU0006,2026-04-08,Thermodynamics,Present
ATT000261,STU0006,2026-08-08,Mechanics,Absent
ATT000262,STU0006,2026-01-27,Thermodynamics,Present
ATT000263,STU0006,2026-06-11,Mechanics,Present
ATT000264,STU0006,2026-06-13,CAD,Present
ATT000265,STU0006,2026-03-29,Thermodynamics,Present
ATT000266,STU0006,2026-05-12,Thermodynamics,Present
ATT000267,STU0006,2026-05-15,Manufacturing,Present
ATT000268,STU0006,2026-01-15,Thermodynamics,Present
ATT000269,STU0006,2026-06-12,Mechanics,Present
ATT000270,STU0006,2026-05-28,CAD,Present
ATT000271,STU0006,2026-03-23,Thermodynamics,Absent
ATT000272,STU0006,2026-05-11,Thermodynamics,Present
ATT000273,STU0006,2026-05-22,Thermodynamics,Present
ATT000274,STU0006,2026-01-02,CAD,Present
ATT000275,STU0006,2026-08-04,Manufacturing,Present
ATT000276,STU0006,2026-02-26,Thermodynamics,Present
ATT000277,STU0006,2026-04-27,Thermodynamics,Present
ATT000278,STU0006,2026-02-10,CAD,Present
ATT000279,STU0006,2026-03-09,Manufacturing,Present
ATT000280,STU0006,2026-01-05,Manufacturing,Absent
ATT000281,STU0006,2026-07-21,Thermodynamics,Absent
ATT000282,STU0006,2026-08-09,CAD,Absent
ATT000283,STU0006,2026-07-03,Manufacturing,Present
