attendance_id,student_id,date,subject,status,present_flag
ATT000001,STU0001,2026-01-29,Python,Present,1
ATT000002,STU0001,2026-04-04,Python,Present,1
ATT000003,STU0001,2026-01-03,Web Development,Present,1
ATT000004,STU0001,2026-06-20,Networks,Present,1
ATT000005,STU0001,2026-03-11,DBMS,Absent,0
ATT000006,STU0001,2026-03-13,Networks,Present,1
ATT000007,STU0001,2026-01-24,Python,Present,1
ATT000008,STU0001,2026-03-20,DBMS,Absent,0
ATT000009,STU0001,2026-05-09,DBMS,Absent,0
ATT000010,STU0001,2026-06-29,Python,Absent,0
ATT000011,STU0001,2026-06-16,Python,Present,1
ATT000012,STU0001,2026-03-23,Python,Present,1
ATT000013,STU0001,2026-08-14,DBMS,Present,1
ATT000014,STU0001,2026-05-04,Python,Present,1
ATT000015,STU0001,2026-02-10,Networks,Present,1
ATT000016,STU0001,2026-02-16,DBMS,Present,1
ATT000017,STU0001,2026-04-27,Networks,Absent,0
ATT000018,STU0001,2026-07-24,Python,Present,1
ATT000019,STU0001,2026-01-06,DBMS,Absent,0
ATT000020,STU0001,2026-06-13,DBMS,Present,1
ATT000021,STU0001,2026-08-12,Python,Absent,0
ATT000022,STU0001,2026-04-21,Python,Present,1
ATT000023,STU0001,2026-07-14,Web Development,Absent,0
ATT000024,STU0001,2026-08-16,Networks,Present,1
ATT000025,STU0001,2026-06-22,Python,Present,1
ATT000026,STU0001,2026-04-28,Python,Present,1
ATT000027,STU0001,2026-05-17,Python,Present,1
ATT000028,STU0001,2026-04-12,Python,Absent,0
ATT000029,STU0001,2026-05-08,Web Development,Present,1
ATT000030,STU0001,2026-05-18,DBMS,Absent,0
ATT000031,STU0001,2026-06-07,Networks,Present,1
ATT000032,STU0001,2026-05-06,Web Development,Present,1
ATT000033,STU0001,2026-01-08,Web Development,Present,1
ATT000034,STU0001,2026-07-26,Networks,Present,1
ATT000035,STU0001,2026-07-18,Networks,Present,1
ATT000036,STU0001,2026-05-30,Web Development,Present,1
ATT000037,STU0001,2026-05-10,Web Development,Absent,0
ATT000038,STU0001,2026-05-14,Networks,Present,1
ATT000039,STU0001,2026-04-25,Web Development,Present,1
ATT000040,STU0001,2026-03-01,Python,Present,1
ATT000041,STU0001,2026-08-18,DBMS,Present,1
ATT000042,STU0001,2026-07-16,Networks,Present,1
ATT000043,STU0001,2026-06-03,Networks,Present,1
ATT000044,STU0001,2026-05-22,DBMS,Present,1
ATT000045,STU0001,2026-02-03,Python,Present,1
ATT000046,STU0001,2026-08-24,Networks,Present,1
ATT000047,STU0001,2026-07-27,DBMS,Present,1
ATT000048,STU0001,2026-08-03,DBMS,Present,1
ATT000049,STU0001,2026-05-16,Python,Present,1
ATT000050,STU0001,2026-04-30,Web Development,Present,1
ATT000051,STU0002,2026-05-12,Power Systems,Present,1
ATT000052,STU0002,2026-03-05,Machines,Absent,0
ATT000053,STU0002,2026-05-19,Machines,Present,1
ATT000054,STU0002,2026-05-03,Power Systems,Absent,0
ATT000055,STU0002,2026-06-22,Power Systems,Absent,0
ATT000056,STU0002,2026-04-10,Machines,Present,1
ATT000057,STU0002,2026-02-16,Power Systems,Present,1
ATT000058,STU0002,2026-07-30,Circuits,Absent,0
ATT000059,STU0002,2026-02-18,Machines,Present,1
ATT000060,STU0002,2026-03-02,Machines,Present,1
ATT000061,STU0002,2026-01-14,Power Systems,Present,1
ATT000062,STU0002,2026-01-28,Machines,Present,1
ATT000063,STU0002,2026-02-28,Machines,Present,1
ATT000064,STU0002,2026-05-21,Machines,Present,1
ATT000065,STU0002,2026-03-20,Machines,Present,1
ATT000066,STU0002,2026-06-17,Circuits,Absent,0
ATT000067,STU0002,2026-03-14,Control Systems,Present,1
ATT000068,STU0002,2026-01-19,Circuits,Present,1
ATT000069,STU0002,2026-07-02,Circuits,Present,1
ATT000070,STU0002,2026-04-26,Circuits,Absent,0
ATT000071,STU0002,2026-07-05,Circuits,Present,1
ATT000072,STU0002,2026-04-01,Control Systems,Present,1
ATT000073,STU0002,2026-01-09,Power Systems,Present,1
ATT000074,STU0002,2026-08-29,Control Systems,Present,1
ATT000075,STU0002,2026-01-26,Circuits,Present,1
