food_id,date,meal_type,food_item,quantity_prepared,quantity_sold,quantity_wasted,cost_per_unit,total_cost
FOOD000001,2026-01-01,Breakfast,Dal,69,51,11,57.31,3954.42
FOOD000002,2026-01-01,Breakfast,Chicken Curry,240,221,14,61.02,14645.0
FOOD000003,2026-01-01,Breakfast,Idli,67,56,11,71.8,4810.39
FOOD000004,2026-01-01,Breakfast,Rice,126,98,21,48.58,6121.45
FOOD000005,2026-01-01,Lunch,Rice,162,130,31,74.28,12033.46
FOOD000006,2026-01-01,Lunch,Fried Rice,240,222,11,37.5,8999.3
FOOD000007,2026-01-01,Lunch,Dosa,198,184,12,25.34,5016.88
FOOD000008,2026-01-01,Lunch,Noodles,158,130,23,51.59,8151.04
FOOD000009,2026-01-01,Snacks,Rice,56,43,10,77.15,4320.39
FOOD000010,2026-01-01,Snacks,Noodles,235,186,46,40.64,9551.42
FOOD000011,2026-01-01,Snacks,Idli,186,157,27,28.1,5225.93
FOOD000012,2026-01-01,Snacks,Fried Rice,223,193,30,76.7,17104.78
FOOD000013,2026-01-01,Dinner,Dal,228,204,18,32.66,7445.46
FOOD000014,2026-01-01,Dinner,Rice,179,149,30,79.74,14273.1
FOOD000015,2026-01-01,Dinner,Curd Rice,88,74,8,55.28,4864.95
FOOD000016,2026-01-01,Dinner,Noodles,110,96,13,70.94,7803.52
FOOD000017,2026-01-02,Breakfast,Dosa,94,85,5,61.05,5739.09
FOOD000018,2026-01-02,Breakfast,Rice,51,41,3,52.99,2702.62
FOOD000019,2026-01-02,Breakfast,Biryani,71,64,7,52.78,3747.21
FOOD000020,2026-01-02,Breakfast,Dal,60,54,2,68.99,4139.39
FOOD000021,2026-01-02,Lunch,Dal,143,115,25,31.3,4476.14
FOOD000022,2026-01-02,Lunch,Rice,53,48,4,78.82,4177.52
FOOD000023,2026-01-02,Lunch,Sambar,139,113,25,33.61,4672.06
FOOD000024,2026-01-02,Lunch,Noodles,244,194,44,75.01,18302.31
FOOD000025,2026-01-02,Snacks,Noodles,65,55,4,22.61,1469.44
FOOD000026,2026-01-02,Snacks,Rice,59,52,5,16.56,977.13
FOOD000027,2026-01-02,Snacks,Idli,200,175,18,55.27,11053.37
FOOD000028,2026-01-02,Snacks,Vegetable Curry,186,168,17,44.67,8307.87
FOOD000029,2026-01-02,Dinner,Chicken Curry,149,143,6,43.05,6414.48
FOOD000030,2026-01-02,Dinner,Sambar,122,105,10,71.93,8775.1
FOOD000031,2026-01-02,Dinner,Chapati,232,216,14,64.21,14896.08
FOOD000032,2026-01-02,Dinner,Idli,139,126,11,35.64,4954.41
FOOD000033,2026-01-03,Breakfast,Curd Rice,116,107,7,28.84,3345.34
FOOD000034,2026-01-03,Breakfast,Dal,205,166,35,39.88,8174.55
FOOD000035,2026-01-03,Breakfast,Chicken Curry,159,140,14,59.65,9484.44
FOOD000036,2026-01-03,Breakfast,Vegetable Curry,170,139,31,25.28,4297.79
FOOD000037,2026-01-03,Lunch,Vegetable Curry,136,118,14,71.32,9699.52
FOOD000038,2026-01-03,Lunch,Sambar,117,94,16,42.18,4935.15
FOOD000039,2026-01-03,Lunch,Rice,221,179,35,78.17,17274.63
FOOD000040,2026-01-03,Lunch,Dosa,71,62,8,69.9,4962.96
FOOD000041,2026-01-03,Snacks,Chicken Curry,136,119,16,32.63,4437.8
FOOD000042,2026-01-03,Snacks,Dal,137,125,10,25.72,3524.16
FOOD000043,2026-01-03,Snacks,Noodles,155,126,29,71.95,11152.98
FOOD000044,2026-01-03,Snacks,Dosa,96,88,6,51.32,4926.81
FOOD000045,2026-01-03,Dinner,Chapati,82,70,9,76.06,6236.74
FOOD000046,2026-01-03,Dinner,Biryani,75,66,8,33.65,2524.1
FOOD000047,2026-01-03,Dinner,Fried Rice,184,143,36,42.64,7845.12
FOOD000048,2026-01-03,Dinner,Dosa,74,59,13,33.99,2515.2
FOOD000049,2026-01-04,Breakfast,Vegetable Curry,78,65,7,67.76,5285.59
FOOD000050,2026-01-04,Breakfast,Rice,56,40,9,49.92,2795.26
FOOD000051,2026-01-04,Breakfast,Dal,186,155,24,68.23,12690.53
