department,expense_category,total_cost
Academic,Cleaning,273603.15
Academic,Electricity,951612.59
Academic,Food,717190.17
Academic,Internet,147925.7
Academic,Maintenance,570697.59
Academic,Other,178268.68
Academic,Transport,382824.43
Academic,Water,290552.54
Administration,Cleaning,289847.72
Administration,Electricity,895982.36
Administration,Food,741049.05
Administration,Internet,121862.0
Administration,Maintenance,535722.37
Administration,Other,200798.26
Administration,Transport,345268.95
Administration,Water,274245.69
Canteen,Cleaning,246598.62
Canteen,Electricity,890815.81
Canteen,Food,691437.34
Canteen,Internet,178139.04
Canteen,Maintenance,483253.54000000004
Canteen,Other,158960.91
Canteen,Transport,405555.68
Canteen,Water,307361.47
Hostel,Cleaning,233596.8
Hostel,Electricity,1005865.92
Hostel,Food,637423.06
Hostel,Internet,154908.3
Hostel,Maintenance,551985.2
Hostel,Other,184430.93
Hostel,Transport,339181.89
Hostel,Water,323232.69
Maintenance,Cleaning,217702.52
Maintenance,Electricity,887724.84
Maintenance,Food,661714.71
Maintenance,Internet,161393.66
Maintenance,Maintenance,608978.37
Maintenance,Other,163665.19
Maintenance,Transport,446373.53
Maintenance,Water,278267.33
Transport,Cleaning,248787.05
Transport,Electricity,860854.69
Transport,Food,676123.98
Transport,Internet,158552.73
Transport,Maintenance,433003.41
Transport,Other,198163.4
Transport,Transport,415367.04
Transport,Water,331946.93
