energy_id,date,building,meter_id,units_consumed_kwh,electricity_cost,peak_hour_units
ENG000001,2026-01-01,Academic Block,MTR-01,775.14,5691.35,291.27
ENG000002,2026-01-01,Hostel A,MTR-02,1218.49,8544.08,543.62
ENG000003,2026-01-01,Hostel B,MTR-03,1148.57,10304.52,584.27
ENG000004,2026-01-01,Library,MTR-04,704.99,5863.02,292.82
ENG000005,2026-01-01,Canteen,MTR-05,535.81,4172.4,216.51
ENG000006,2026-01-01,Computer Lab,MTR-06,1169.12,10081.47,629.25
ENG000007,2026-01-01,Admin Block,MTR-07,300.71,2637.53,123.9
ENG000008,2026-01-02,Academic Block,MTR-01,971.58,8592.39,383.23
ENG000009,2026-01-02,Hostel A,MTR-02,805.7,5656.17,397.74
ENG000010,2026-01-02,Hostel B,MTR-03,1149.48,8846.4,481.27
ENG000011,2026-01-02,Library,MTR-04,643.34,5192.23,330.69
ENG000012,2026-01-02,Canteen,MTR-05,435.59,3441.21,152.93
ENG000013,2026-01-02,Computer Lab,MTR-06,1312.88,9230.84,616.0
ENG000014,2026-01-02,Admin Block,MTR-07,359.83,3161.79,164.93
ENG000015,2026-01-03,Academic Block,MTR-01,892.14,6534.32,470.58
ENG000016,2026-01-03,Hostel A,MTR-02,1175.5,10517.84,600.7
ENG000017,2026-01-03,Hostel B,MTR-03,989.06,7912.12,476.65
ENG000018,2026-01-03,Library,MTR-04,649.81,5431.2,235.57
ENG000019,2026-01-03,Canteen,MTR-05,430.82,3872.69,223.53
ENG000020,2026-01-03,Computer Lab,MTR-06,1541.75,10846.09,742.46
ENG000021,2026-01-03,Admin Block,MTR-07,356.82,2729.91,138.45
ENG000022,2026-01-04,Academic Block,MTR-01,856.16,6065.69,343.02
ENG000023,2026-01-04,Hostel A,MTR-02,1427.48,10742.38,749.83
ENG000024,2026-01-04,Hostel B,MTR-03,1067.83,8008.58,472.86
ENG000025,2026-01-04,Library,MTR-04,676.41,5328.4,239.09
ENG000026,2026-01-04,Canteen,MTR-05,389.89,2741.37,206.8
ENG000027,2026-01-04,Computer Lab,MTR-06,1077.34,8521.57,486.55
ENG000028,2026-01-04,Admin Block,MTR-07,389.55,3347.4,183.43
ENG000029,2026-01-05,Academic Block,MTR-01,1001.53,7309.68,422.57
ENG000030,2026-01-05,Hostel A,MTR-02,1162.48,10081.58,462.57
ENG000031,2026-01-05,Hostel B,MTR-03,1045.42,7776.11,385.31
ENG000032,2026-01-05,Library,MTR-04,687.46,5172.25,316.42
ENG000033,2026-01-05,Canteen,MTR-05,383.59,2757.96,209.78
ENG000034,2026-01-05,Computer Lab,MTR-06,1354.63,11414.4,588.43
ENG000035,2026-01-05,Admin Block,MTR-07,395.31,2970.38,188.99
ENG000036,2026-01-06,Academic Block,MTR-01,982.52,8294.65,523.08
ENG000037,2026-01-06,Hostel A,MTR-02,1057.94,8596.64,400.27
ENG000038,2026-01-06,Hostel B,MTR-03,1068.86,8739.47,571.53
ENG000039,2026-01-06,Library,MTR-04,500.92,4473.1,186.52
ENG000040,2026-01-06,Canteen,MTR-05,424.52,3198.52,227.4
ENG000041,2026-01-06,Computer Lab,MTR-06,1176.68,8588.52,617.18
ENG000042,2026-01-06,Admin Block,MTR-07,414.53,3127.58,203.4
ENG000043,2026-01-07,Academic Block,MTR-01,975.37,8117.75,365.88
ENG000044,2026-01-07,Hostel A,MTR-02,1028.23,9140.71,433.13
ENG000045,2026-01-07,Hostel B,MTR-03,1021.72,8866.36,492.55
ENG000046,2026-01-07,Library,MTR-04,671.43,4933.33,270.68
ENG000047,2026-01-07,Canteen,MTR-05,439.84,3362.95,173.51
ENG000048,2026-01-07,Computer Lab,MTR-06,1395.68,11271.55,562.7
ENG000049,2026-01-07,Admin Block,MTR-07,388.7,3268.0,173.32
ENG000050,2026-01-08,Academic Block,MTR-01,1115.51,8054.45,519.55
ENG000051,2026-01-08,Hostel A,MTR-02,1092.1,8878.78,568.58
ENG000052,2026-01-08,Hostel B,MTR-03,825.27,6113.73,360.5
ENG000053,2026-01-08,Library,MTR-04,679.47,5824.15,286.86
ENG000054,2026-01-08,Canteen,MTR-05,401.2,2934.27,150.4
ENG000055,2026-01-08,Computer Lab,MTR-06,1078.19,9373.6,584.93
ENG000056,2026-01-08,Admin Block,MTR-07,466.14,3529.59,186.35
ENG000057,2026-01-09,Academic Block,MTR-01,1028.58,7993.56,488.33
ENG000058,2026-01-09,Hostel A,MTR-02,993.44,7065.6,475.74
ENG000059,2026-01-09,Hostel B,MTR-03,946.54,7943.68,519.57
ENG000060,2026-01-09,Library,MTR-04,626.28,4854.1,257.97
ENG000061,2026-01-09,Canteen,MTR-05,525.74,4671.44,190.17
ENG000062,2026-01-09,Computer Lab,MTR-06,1155.6,8669.46,409.91
ENG000063,2026-01-09,Admin Block,MTR-07,361.59,2605.53,143.12
ENG000064,2026-01-10,Academic Block,MTR-01,862.21,6209.16,365.18
ENG000065,2026-01-10,Hostel A,MTR-02,983.66,7160.29,367.33
ENG000066,2026-01-10,Hostel B,MTR-03,1156.63,9558.55,588.51
ENG000067,2026-01-10,Library,MTR-04,747.62,6260.67,364.37
ENG000068,2026-01-10,Canteen,MTR-05,325.27,2812.47,137.64
ENG000069,2026-01-10,Computer Lab,MTR-06,1010.11,8070.32,529.0
ENG000070,2026-01-10,Admin Block,MTR-07,405.56,3326.4,194.01
ENG000071,2026-01-11,Academic Block,MTR-01,786.36,5804.19,375.8
ENG000072,2026-01-11,Hostel A,MTR-02,1379.29,10442.86,728.46
ENG000073,2026-01-11,Hostel B,MTR-03,1235.94,10923.02,497.14
ENG000074,2026-01-11,Library,MTR-04,705.59,6332.56,356.81
ENG000075,2026-01-11,Canteen,MTR-05,505.78,4180.95,243.86
ENG000076,2026-01-11,Computer Lab,MTR-06,1074.38,9225.84,552.59
ENG000077,2026-01-11,Admin Block,MTR-07,410.04,3644.02,207.61
ENG000078,2026-01-12,Academic Block,MTR-01,918.51,7217.4,461.51
ENG000079,2026-01-12,Hostel A,MTR-02,1111.92,8010.61,577.81
ENG000080,2026-01-12,Hostel B,MTR-03,916.84,7709.37,321.61
ENG000081,2026-01-12,Library,MTR-04,616.87,5270.03,267.51
ENG000082,2026-01-12,Canteen,MTR-05,477.66,4155.27,177.71
ENG000083,2026-01-12,Computer Lab,MTR-06,860.92,6756.14,344.99
ENG000084,2026-01-12,Admin Block,MTR-07,375.56,2858.67,184.83
ENG000085,2026-01-13,Academic Block,MTR-01,1008.16,8777.58,417.45
ENG000086,2026-01-13,Hostel A,MTR-02,1202.5,8857.23,571.27
ENG000087,2026-01-13,Hostel B,MTR-03,1199.42,8871.01,646.73
ENG000088,2026-01-13,Library,MTR-04,652.14,5692.88,304.65
ENG000089,2026-01-13,Canteen,MTR-05,462.46,4155.81,236.62
ENG000090,2026-01-13,Computer Lab,MTR-06,1047.67,8404.32,377.15
ENG000091,2026-01-13,Admin Block,MTR-07,516.31,4486.98,221.54
ENG000092,2026-01-14,Academic Block,MTR-01,905.48,6671.48,363.07
ENG000093,2026-01-14,Hostel A,MTR-02,1057.19,7408.41,424.43
ENG000094,2026-01-14,Hostel B,MTR-03,1061.97,9096.13,483.14
ENG000095,2026-01-14,Library,MTR-04,681.03,5844.44,286.8
ENG000096,2026-01-14,Canteen,MTR-05,440.26,3578.78,176.9
ENG000097,2026-01-14,Computer Lab,MTR-06,1211.57,9133.32,610.66
ENG000098,2026-01-14,Admin Block,MTR-07,452.31,4055.38,189.64
ENG000099,2026-01-15,Academic Block,MTR-01,926.76,7561.29,430.22
ENG000100,2026-01-15,Hostel A,MTR-02,1227.01,10120.24,526.65
ENG000101,2026-01-15,Hostel B,MTR-03,1143.76,8608.72,625.04
ENG000102,2026-01-15,Library,MTR-04,771.2,6104.1,371.74
ENG000103,2026-01-15,Canteen,MTR-05,419.03,3376.58,175.99
ENG000104,2026-01-15,Computer Lab,MTR-06,1145.51,8176.05,447.82
ENG000105,2026-01-15,Admin Block,MTR-07,355.26,2557.75,162.06
ENG000106,2026-01-16,Academic Block,MTR-01,1090.22,9102.2,546.69
ENG000107,2026-01-16,Hostel A,MTR-02,1123.83,9421.82,615.9
ENG000108,2026-01-16,Hostel B,MTR-03,952.09,7767.76,497.63
ENG000109,2026-01-16,Library,MTR-04,534.35,3825.67,226.25
ENG000110,2026-01-16,Canteen,MTR-05,540.76,4425.86,245.87
ENG000111,2026-01-16,Computer Lab,MTR-06,1280.96,10377.16,621.67
ENG000112,2026-01-16,Admin Block,MTR-07,349.83,2860.36,129.99
ENG000113,2026-01-17,Academic Block,MTR-01,1022.23,8884.41,381.49
ENG000114,2026-01-17,Hostel A,MTR-02,1226.41,9046.65,446.73
ENG000115,2026-01-17,Hostel B,MTR-03,1236.47,10965.63,585.53
ENG000116,2026-01-17,Library,MTR-04,613.79,4723.16,233.37
ENG000117,2026-01-17,Canteen,MTR-05,509.43,4430.53,207.8
ENG000118,2026-01-17,Computer Lab,MTR-06,1639.29,14224.68,648.01
ENG000119,2026-01-17,Admin Block,MTR-07,369.96,3208.12,168.5
ENG000120,2026-01-18,Academic Block,MTR-01,826.06,7137.24,366.11
ENG000121,2026-01-18,Hostel A,MTR-02,1143.96,8188.79,600.25
ENG000122,2026-01-18,Hostel B,MTR-03,1116.3,9217.31,495.83
ENG000123,2026-01-18,Library,MTR-04,705.71,5515.42,251.2
ENG000124,2026-01-18,Canteen,MTR-05,496.82,4184.82,268.24
ENG000125,2026-01-18,Computer Lab,MTR-06,1438.0,12364.74,659.87
ENG000126,2026-01-18,Admin Block,MTR-07,347.6,2888.37,188.28
ENG000127,2026-01-19,Academic Block,MTR-01,1028.32,9209.21,522.3
ENG000128,2026-01-19,Hostel A,MTR-02,1141.92,8923.75,452.2
ENG000129,2026-01-19,Hostel B,MTR-03,872.2,6773.21,305.68
ENG000130,2026-01-19,Library,MTR-04,617.42,4736.18,304.97
ENG000131,2026-01-19,Canteen,MTR-05,549.36,4602.3,262.49
ENG000132,2026-01-19,Computer Lab,MTR-06,1340.6,11079.89,713.96
ENG000133,2026-01-19,Admin Block,MTR-07,525.74,4556.38,195.5
ENG000134,2026-01-20,Academic Block,MTR-01,1014.73,8810.85,508.26
ENG000135,2026-01-20,Hostel A,MTR-02,1021.74,7607.93,432.93
ENG000136,2026-01-20,Hostel B,MTR-03,935.99,7655.49,471.95
ENG000137,2026-01-20,Library,MTR-04,460.84,3751.61,208.11
ENG000138,2026-01-20,Canteen,MTR-05,431.64,3212.19,234.54
ENG000139,2026-01-20,Computer Lab,MTR-06,1236.64,10315.49,655.31
ENG000140,2026-01-20,Admin Block,MTR-07,440.28,3640.44,214.43
ENG000141,2026-01-21,Academic Block,MTR-01,794.49,7073.18,364.18
ENG000142,2026-01-21,Hostel A,MTR-02,815.88,7280.88,350.17
ENG000143,2026-01-21,Hostel B,MTR-03,877.41,7025.06,324.13
ENG000144,2026-01-21,Library,MTR-04,671.32,5149.2,246.37
ENG000145,2026-01-21,Canteen,MTR-05,390.38,3339.62,179.97
ENG000146,2026-01-21,Computer Lab,MTR-06,1151.59,9405.74,619.4
ENG000147,2026-01-21,Admin Block,MTR-07,443.86,3973.89,218.5
ENG000148,2026-01-22,Academic Block,MTR-01,1021.2,8881.88,368.8
ENG000149,2026-01-22,Hostel A,MTR-02,1134.97,8535.08,530.2
ENG000150,2026-01-22,Hostel B,MTR-03,1167.5,9183.11,500.35
ENG000151,2026-01-22,Library,MTR-04,585.63,4736.98,222.11
ENG000152,2026-01-22,Canteen,MTR-05,464.04,3671.62,231.24
ENG000153,2026-01-22,Computer Lab,MTR-06,1149.75,9041.85,429.75
ENG000154,2026-01-22,Admin Block,MTR-07,364.59,3184.61,180.18
ENG000155,2026-01-23,Academic Block,MTR-01,888.4,7430.57,323.54
ENG000156,2026-01-23,Hostel A,MTR-02,1112.24,8412.49,463.55
ENG000157,2026-01-23,Hostel B,MTR-03,1132.67,10060.63,481.33
ENG000158,2026-01-23,Library,MTR-04,588.77,4736.26,258.75
