energy_id,date,building,meter_id,units_consumed_kwh,electricity_cost,peak_hour_units,cost_per_kwh
ENG000001,2026-01-01,Academic Block,MTR-01,775.14,5691.35,291.27,7.342351059163507
ENG000002,2026-01-01,Hostel A,MTR-02,1218.49,8544.08,543.62,7.012023077743764
ENG000003,2026-01-01,Hostel B,MTR-03,1148.57,10304.52,584.27,8.971608173642007
ENG000004,2026-01-01,Library,MTR-04,704.99,5863.02,292.82,8.316458389480703
ENG000005,2026-01-01,Canteen,MTR-05,535.81,4172.4,216.51,7.787088706817715
ENG000006,2026-01-01,Computer Lab,MTR-06,1169.12,10081.47,629.25,8.6231267962228
ENG000007,2026-01-01,Admin Block,MTR-07,300.71,2637.53,123.9,8.771008612949354
ENG000008,2026-01-02,Academic Block,MTR-01,971.58,8592.39,383.23,8.84372877169147
ENG000009,2026-01-02,Hostel A,MTR-02,805.7,5656.17,397.74,7.020193620454263
ENG000010,2026-01-02,Hostel B,MTR-03,1149.48,8846.4,481.27,7.696001670320492
ENG000011,2026-01-02,Library,MTR-04,643.34,5192.23,330.69,8.070740199583422
ENG000012,2026-01-02,Canteen,MTR-05,435.59,3441.21,152.93,7.900112491104021
ENG000013,2026-01-02,Computer Lab,MTR-06,1312.88,9230.84,616.0,7.030985314727926
ENG000014,2026-01-02,Admin Block,MTR-07,359.83,3161.79,164.93,8.786899369146541
ENG000015,2026-01-03,Academic Block,MTR-01,892.14,6534.32,470.58,7.324321294864035
ENG000016,2026-01-03,Hostel A,MTR-02,1175.5,10517.84,600.7,8.947545725223309
ENG000017,2026-01-03,Hostel B,MTR-03,989.06,7912.12,476.65,7.999636018037329
ENG000018,2026-01-03,Library,MTR-04,649.81,5431.2,235.57,8.358135454979148
ENG000019,2026-01-03,Canteen,MTR-05,430.82,3872.69,223.53,8.98911378301843
ENG000020,2026-01-03,Computer Lab,MTR-06,1541.75,10846.09,742.46,7.0349213556024
ENG000021,2026-01-03,Admin Block,MTR-07,356.82,2729.91,138.45,7.650664200437195
ENG000022,2026-01-04,Academic Block,MTR-01,856.16,6065.69,343.02,7.084762193982433
ENG000023,2026-01-04,Hostel A,MTR-02,1427.48,10742.38,749.83,7.525415417378877
ENG000024,2026-01-04,Hostel B,MTR-03,1067.83,8008.58,472.86,7.4998642105953195
ENG000025,2026-01-04,Library,MTR-04,676.41,5328.4,239.09,7.877470764772845
ENG000026,2026-01-04,Canteen,MTR-05,389.89,2741.37,206.8,7.031136987355408
ENG000027,2026-01-04,Computer Lab,MTR-06,1077.34,8521.57,486.55,7.909824196632447
ENG000028,2026-01-04,Admin Block,MTR-07,389.55,3347.4,183.43,8.59299191374663
ENG000029,2026-01-05,Academic Block,MTR-01,1001.53,7309.68,422.57,7.298513274689725
ENG000030,2026-01-05,Hostel A,MTR-02,1162.48,10081.58,462.57,8.672476085610075
ENG000031,2026-01-05,Hostel B,MTR-03,1045.42,7776.11,385.31,7.4382640469859
ENG000032,2026-01-05,Library,MTR-04,687.46,5172.25,316.42,7.52371047042737
ENG000033,2026-01-05,Canteen,MTR-05,383.59,2757.96,209.78,7.1898641778982775
ENG000034,2026-01-05,Computer Lab,MTR-06,1354.63,11414.4,588.43,8.426212323660334
ENG000035,2026-01-05,Admin Block,MTR-07,395.31,2970.38,188.99,7.514052262781108
ENG000036,2026-01-06,Academic Block,MTR-01,982.52,8294.65,523.08,8.44222000569963
ENG000037,2026-01-06,Hostel A,MTR-02,1057.94,8596.64,400.27,8.12582944212337
ENG000038,2026-01-06,Hostel B,MTR-03,1068.86,8739.47,571.53,8.176440319592837
