food_item,food_prepared,food_sold,food_waste,waste_cost,waste_percentage
Chicken Curry,53565,45768,6604,310769.06,12.328946140203492
Sambar,51898,44830,5932,284494.07,11.43011291379244
Chapati,50580,43490,5866,282327.33,11.597469355476472
Vegetable Curry,47081,40381,5632,265596.43,11.962362736560396
Idli,48679,41946,5575,262363.38,11.45257708662873
Dosa,48829,42061,5557,261701.67,11.38053206086547
Rice,49265,42547,5530,258435.24,11.225007611894855
Dal,46627,40064,5505,263153.38,11.806464065884573
Noodles,45938,39366,5497,265418.23,11.966128259828464
Biryani,48464,41837,5477,253211.27,11.301172003961705
Fried Rice,46308,39908,5232,250856.35,11.298263798911636
Curd Rice,43853,37564,5181,246679.14,11.81447107381479
