cost_id,date,department,expense_category,amount
COST000001,2026-01-01,Administration,Food,13906.55
COST000002,2026-01-01,Administration,Cleaning,3915.57
COST000003,2026-01-01,Hostel,Internet,2448.2
COST000004,2026-01-01,Hostel,Electricity,17252.7
COST000005,2026-01-01,Canteen,Transport,5178.77
COST000006,2026-01-01,Canteen,Water,6293.57
COST000007,2026-01-01,Academic,Food,13392.12
COST000008,2026-01-01,Academic,Internet,2602.33
COST000009,2026-01-01,Maintenance,Water,5072.74
COST000010,2026-01-01,Maintenance,Maintenance,7720.58
COST000011,2026-01-01,Transport,Water,6264.73
COST000012,2026-01-01,Transport,Food,16094.52
COST000013,2026-01-02,Administration,Food,12052.39
COST000014,2026-01-02,Administration,Internet,2201.79
COST000015,2026-01-02,Hostel,Maintenance,9263.63
COST000016,2026-01-02,Hostel,Other,3534.09
COST000017,2026-01-02,Canteen,Internet,2964.72
COST000018,2026-01-02,Canteen,Maintenance,7221.81
COST000019,2026-01-02,Academic,Internet,2480.09
COST000020,2026-01-02,Academic,Transport,7782.7
COST000021,2026-01-02,Maintenance,Maintenance,11240.93
COST000022,2026-01-02,Maintenance,Transport,7135.09
COST000023,2026-01-02,Transport,Food,10466.3
COST000024,2026-01-02,Transport,Cleaning,4103.14
COST000025,2026-01-03,Administration,Internet,3099.08
COST000026,2026-01-03,Administration,Transport,7022.25
COST000027,2026-01-03,Hostel,Electricity,8867.58
COST000028,2026-01-03,Hostel,Cleaning,4182.76
COST000029,2026-01-03,Canteen,Water,5579.16
COST000030,2026-01-03,Canteen,Food,12560.92
COST000031,2026-01-03,Academic,Food,12887.44
COST000032,2026-01-03,Academic,Other,3311.67
COST000033,2026-01-03,Maintenance,Maintenance,5698.24
COST000034,2026-01-03,Maintenance,Other,4136.67
COST000035,2026-01-03,Transport,Food,12242.66
COST000036,2026-01-03,Transport,Maintenance,7112.31
COST000037,2026-01-04,Administration,Other,3385.55
COST000038,2026-01-04,Administration,Water,4759.79
COST000039,2026-01-04,Hostel,Maintenance,8256.35
COST000040,2026-01-04,Hostel,Water,7633.71
COST000041,2026-01-04,Canteen,Food,13733.15
COST000042,2026-01-04,Canteen,Maintenance,8785.69
COST000043,2026-01-04,Academic,Food,12012.45
COST000044,2026-01-04,Academic,Water,3755.51
COST000045,2026-01-04,Maintenance,Water,5483.09
COST000046,2026-01-04,Maintenance,Cleaning,3118.88
COST000047,2026-01-04,Transport,Water,4732.95
COST000048,2026-01-04,Transport,Food,8396.1
COST000049,2026-01-05,Administration,Maintenance,8521.55
COST000050,2026-01-05,Administration,Other,3401.17
COST000051,2026-01-05,Hostel,Food,8648.64
COST000052,2026-01-05,Hostel,Internet,2453.66
COST000053,2026-01-05,Canteen,Electricity,14132.72
