cost_id,date,department,expense_category,amount,cost_month
COST000001,2026-01-01,Administration,Food,13906.55,2026-01
COST000002,2026-01-01,Administration,Cleaning,3915.57,2026-01
COST000003,2026-01-01,Hostel,Internet,2448.2,2026-01
COST000004,2026-01-01,Hostel,Electricity,17252.7,2026-01
COST000005,2026-01-01,Canteen,Transport,5178.77,2026-01
COST000006,2026-01-01,Canteen,Water,6293.57,2026-01
COST000007,2026-01-01,Academic,Food,13392.12,2026-01
COST000008,2026-01-01,Academic,Internet,2602.33,2026-01
COST000009,2026-01-01,Maintenance,Water,5072.74,2026-01
COST000010,2026-01-01,Maintenance,Maintenance,7720.58,2026-01
COST000011,2026-01-01,Transport,Water,6264.73,2026-01
COST000012,2026-01-01,Transport,Food,16094.52,2026-01
COST000013,2026-01-02,Administration,Food,12052.39,2026-01
COST000014,2026-01-02,Administration,Internet,2201.79,2026-01
COST000015,2026-01-02,Hostel,Maintenance,9263.63,2026-01
COST000016,2026-01-02,Hostel,Other,3534.09,2026-01
COST000017,2026-01-02,Canteen,Internet,2964.72,2026-01
COST000018,2026-01-02,Canteen,Maintenance,7221.81,2026-01
COST000019,2026-01-02,Academic,Internet,2480.09,2026-01
COST000020,2026-01-02,Academic,Transport,7782.7,2026-01
COST000021,2026-01-02,Maintenance,Maintenance,11240.93,2026-01
COST000022,2026-01-02,Maintenance,Transport,7135.09,2026-01
COST000023,2026-01-02,Transport,Food,10466.3,2026-01
COST000024,2026-01-02,Transport,Cleaning,4103.14,2026-01
COST000025,2026-01-03,Administration,Internet,3099.08,2026-01
COST000026,2026-01-03,Administration,Transport,7022.25,2026-01
COST000027,2026-01-03,Hostel,Electricity,8867.58,2026-01
COST000028,2026-01-03,Hostel,Cleaning,4182.76,2026-01
COST000029,2026-01-03,Canteen,Water,5579.16,2026-01
COST000030,2026-01-03,Canteen,Food,12560.92,2026-01
COST000031,2026-01-03,Academic,Food,12887.44,2026-01
COST000032,2026-01-03,Academic,Other,3311.67,2026-01
COST000033,2026-01-03,Maintenance,Maintenance,5698.24,2026-01
COST000034,2026-01-03,Maintenance,Other,4136.67,2026-01
COST000035,2026-01-03,Transport,Food,12242.66,2026-01
COST000036,2026-01-03,Transport,Maintenance,7112.31,2026-01
COST000037,2026-01-04,Administration,Other,3385.55,2026-01
COST000038,2026-01-04,Administration,Water,4759.79,2026-01
COST000039,2026-01-04,Hostel,Maintenance,8256.35,2026-01
COST000040,2026-01-04,Hostel,Water,7633.71,2026-01
COST000041,2026-01-04,Canteen,Food,13733.15,2026-01
COST000042,2026-01-04,Canteen,Maintenance,8785.69,2026-01
COST000043,2026-01-04,Academic,Food,12012.45,2026-01
COST000044,2026-01-04,Academic,Water,3755.51,2026-01
COST000045,2026-01-04,Maintenance,Water,5483.09,2026-01
COST000046,2026-01-04,Maintenance,Cleaning,3118.88,2026-01
COST000047,2026-01-04,Transport,Water,4732.95,2026-01
COST000048,2026-01-04,Transport,Food,8396.1,2026-01
COST000049,2026-01-05,Administration,Maintenance,8521.55,2026-01
COST000050,2026-01-05,Administration,Other,3401.17,2026-01
COST000051,2026-01-05,Hostel,Food,8648.64,2026-01
COST000052,2026-01-05,Hostel,Internet,2453.66,2026-01
COST000053,2026-01-05,Canteen,Electricity,14132.72,2026-01
COST000054,2026-01-05,Canteen,Cleaning,2864.95,2026-01
COST000055,2026-01-05,Academic,Internet,3018.56,2026-01
COST000056,2026-01-05,Academic,Transport,6614.24,2026-01
COST000057,2026-01-05,Maintenance,Electricity,12648.43,2026-01
COST000058,2026-01-05,Maintenance,Internet,2254.94,2026-01
COST000059,2026-01-05,Transport,Maintenance,6341.87,2026-01
COST000060,2026-01-05,Transport,Cleaning,4361.81,2026-01
COST000061,2026-01-06,Administration,Food,11579.62,2026-01
COST000062,2026-01-06,Administration,Cleaning,2954.75,2026-01
COST000063,2026-01-06,Hostel,Internet,2482.18,2026-01
COST000064,2026-01-06,Hostel,Electricity,15173.93,2026-01
COST000065,2026-01-06,Canteen,Maintenance,7217.54,2026-01
COST000066,2026-01-06,Canteen,Water,4015.64,2026-01
COST000067,2026-01-06,Academic,Transport,5919.38,2026-01
COST000068,2026-01-06,Academic,Maintenance,8421.27,2026-01
COST000069,2026-01-06,Maintenance,Cleaning,3932.3,2026-01
COST000070,2026-01-06,Maintenance,Transport,7625.1,2026-01
COST000071,2026-01-06,Transport,Other,2831.03,2026-01
COST000072,2026-01-06,Transport,Transport,7122.72,2026-01
COST000073,2026-01-07,Administration,Internet,2168.93,2026-01
COST000074,2026-01-07,Administration,Food,12162.83,2026-01
COST000075,2026-01-07,Hostel,Internet,2482.0,2026-01
COST000076,2026-01-07,Hostel,Water,6536.41,2026-01
COST000077,2026-01-07,Canteen,Other,2746.58,2026-01
COST000078,2026-01-07,Canteen,Electricity,12195.94,2026-01
COST000079,2026-01-07,Academic,Transport,3961.58,2026-01
COST000080,2026-01-07,Academic,Food,13326.87,2026-01
COST000081,2026-01-07,Maintenance,Electricity,12835.2,2026-01
COST000082,2026-01-07,Maintenance,Maintenance,10801.98,2026-01
COST000083,2026-01-07,Transport,Water,4332.87,2026-01
COST000084,2026-01-07,Transport,Cleaning,4323.8,2026-01
COST000085,2026-01-08,Administration,Internet,2817.38,2026-01
COST000086,2026-01-08,Administration,Cleaning,4524.21,2026-01
COST000087,2026-01-08,Hostel,Maintenance,8423.67,2026-01
COST000088,2026-01-08,Hostel,Internet,2989.37,2026-01
COST000089,2026-01-08,Canteen,Electricity,13183.46,2026-01
COST000090,2026-01-08,Canteen,Transport,4540.23,2026-01
COST000091,2026-01-08,Academic,Water,3836.57,2026-01
COST000092,2026-01-08,Academic,Other,3222.03,2026-01
COST000093,2026-01-08,Maintenance,Food,10595.66,2026-01
COST000094,2026-01-08,Maintenance,Water,2839.31,2026-01
COST000095,2026-01-08,Transport,Electricity,12547.19,2026-01
COST000096,2026-01-08,Transport,Cleaning,3072.25,2026-01
COST000097,2026-01-09,Administration,Internet,2321.28,2026-01
COST000098,2026-01-09,Administration,Food,11206.73,2026-01
COST000099,2026-01-09,Hostel,Electricity,15018.01,2026-01
COST000100,2026-01-09,Hostel,Transport,7481.02,2026-01
COST000101,2026-01-09,Canteen,Cleaning,2995.85,2026-01
COST000102,2026-01-09,Canteen,Maintenance,8043.47,2026-01
COST000103,2026-01-09,Academic,Food,10299.39,2026-01
COST000104,2026-01-09,Academic,Transport,8401.29,2026-01
COST000105,2026-01-09,Maintenance,Cleaning,4442.45,2026-01
COST000106,2026-01-09,Maintenance,Transport,9895.46,2026-01
COST000107,2026-01-09,Transport,Electricity,16535.13,2026-01
COST000108,2026-01-09,Transport,Cleaning,4378.88,2026-01
