student_id,student_name,department,year,section,gender,hostel_status
STU0001,Student_0001,IT,4,A,Female,Day Scholar
STU0002,Student_0002,EEE,1,C,Male,Hostel
STU0003,Student_0003,MECH,4,A,Female,Hostel
STU0004,Student_0004,IT,2,D,Female,Hostel
STU0005,Student_0005,ECE,1,A,Male,Day Scholar
STU0006,Student_0006,MECH,3,A,Female,Hostel
STU0007,Student_0007,MECH,2,D,Female,Hostel
STU0008,Student_0008,IT,3,B,Male,Day Scholar
STU0009,Student_0009,AIML,4,B,Male,Day Scholar
STU0010,Student_0010,ECE,4,B,Male,Hostel
STU0011,Student_0011,IT,2,C,Female,Day Scholar
STU0012,Student_0012,ECE,4,D,Male,Hostel
STU0013,Student_0013,ECE,3,D,Male,Hostel
STU0014,Student_0014,MECH,1,A,Male,Day Scholar
STU0015,Student_0015,EEE,1,C,Male,Hostel
STU0016,Student_0016,ECE,1,B,Female,Day Scholar
STU0017,Student_0017,CIVIL,2,C,Female,Day Scholar
STU0018,Student_0018,MECH,4,D,Male,Hostel
STU0019,Student_0019,AIML,3,D,Female,Hostel
STU0020,Student_0020,EEE,4,A,Male,Hostel
STU0021,Student_0021,CIVIL,4,A,Male,Day Scholar
STU0022,Student_0022,CIVIL,4,D,Female,Hostel
STU0023,Student_0023,AIML,1,B,Female,Day Scholar
STU0024,Student_0024,EEE,3,B,Male,Day Scholar
STU0025,Student_0025,MECH,3,C,Male,Hostel
STU0026,Student_0026,CSE,4,D,Female,Day Scholar
STU0027,Student_0027,EEE,1,D,Male,Hostel
STU0028,Student_0028,AIML,1,B,Female,Hostel
STU0029,Student_0029,CIVIL,3,B,Male,Hostel
STU0030,Student_0030,MECH,1,D,Male,Hostel
STU0031,Student_0031,EEE,1,A,Female,Hostel
STU0032,Student_0032,CSE,1,D,Female,Hostel
STU0033,Student_0033,CSE,2,D,Female,Hostel
STU0034,Student_0034,ECE,4,B,Female,Day Scholar
STU0035,Student_0035,ECE,3,B,Female,Hostel
STU0036,Student_0036,IT,3,A,Female,Day Scholar
STU0037,Student_0037,AIML,2,A,Female,Day Scholar
STU0038,Student_0038,EEE,4,C,Male,Day Scholar
STU0039,Student_0039,EEE,3,D,Male,Hostel
STU0040,Student_0040,IT,1,B,Male,Day Scholar
STU0041,Student_0041,CIVIL,3,A,Female,Day Scholar
STU0042,Student_0042,CIVIL,1,C,Female,Hostel
STU0043,Student_0043,IT,2,C,Female,Hostel
STU0044,Student_0044,CIVIL,1,B,Male,Day Scholar
STU0045,Student_0045,ECE,3,B,Female,Hostel
STU0046,Student_0046,EEE,3,C,Female,Hostel
STU0047,Student_0047,IT,3,A,Male,Hostel
STU0048,Student_0048,EEE,2,C,Female,Hostel
STU0049,Student_0049,CSE,2,D,Male,Day Scholar
STU0050,Student_0050,ECE,4,D,Male,Hostel
STU0051,Student_0051,MECH,3,B,Female,Hostel
STU0052,Student_0052,ECE,1,A,Female,Hostel
STU0053,Student_0053,IT,2,A,Female,Day Scholar
STU0054,Student_0054,MECH,3,D,Male,Day Scholar
STU0055,Student_0055,CSE,3,C,Male,Hostel
STU0056,Student_0056,IT,2,B,Male,Hostel
STU0057,Student_0057,AIML,4,C,Female,Day Scholar
STU0058,Student_0058,EEE,2,C,Female,Hostel
STU0059,Student_0059,CSE,2,C,Female,Hostel
STU0060,Student_0060,EEE,1,A,Female,Day Scholar
STU0061,Student_0061,CIVIL,1,D,Male,Hostel
STU0062,Student_0062,AIML,4,A,Male,Hostel
STU0063,Student_0063,AIML,3,D,Male,Day Scholar
STU0064,Student_0064,CSE,2,B,Male,Day Scholar
STU0065,Student_0065,AIML,4,B,Female,Hostel
STU0066,Student_0066,MECH,1,C,Female,Day Scholar
STU0067,Student_0067,AIML,2,D,Female,Hostel
STU0068,Student_0068,EEE,3,D,Male,Hostel
STU0069,Student_0069,EEE,1,D,Male,Hostel
STU0070,Student_0070,IT,1,C,Female,Day Scholar
STU0071,Student_0071,EEE,1,C,Female,Day Scholar
STU0072,Student_0072,IT,4,B,Male,Hostel
STU0073,Student_0073,EEE,3,A,Female,Hostel
STU0074,Student_0074,MECH,2,D,Male,Day Scholar
STU0075,Student_0075,IT,4,D,Male,Day Scholar
STU0076,Student_0076,ECE,4,A,Male,Day Scholar
STU0077,Student_0077,CIVIL,4,D,Female,Hostel
STU0078,Student_0078,CSE,1,C,Female,Day Scholar
STU0079,Student_0079,EEE,3,C,Male,Day Scholar
STU0080,Student_0080,AIML,4,D,Female,Hostel
STU0081,Student_0081,EEE,2,C,Male,Hostel
STU0082,Student_0082,AIML,3,C,Male,Hostel
STU0083,Student_0083,CIVIL,2,D,Male,Day Scholar
STU0084,Student_0084,CIVIL,3,B,Male,Hostel
STU0085,Student_0085,CIVIL,2,A,Female,Hostel
STU0086,Student_0086,AIML,1,C,Male,Hostel
STU0087,Student_0087,EEE,4,B,Male,Hostel
STU0088,Student_0088,CIVIL,2,C,Female,Day Scholar
STU0089,Student_0089,MECH,3,C,Male,Hostel
STU0090,Student_0090,IT,4,A,Male,Day Scholar
STU0091,Student_0091,AIML,4,C,Female,Day Scholar
STU0092,Student_0092,AIML,3,A,Female,Day Scholar
STU0093,Student_0093,EEE,2,A,Female,Hostel
STU0094,Student_0094,AIML,1,A,Male,Day Scholar
STU0095,Student_0095,AIML,1,B,Female,Hostel
STU0096,Student_0096,CIVIL,2,D,Female,Hostel
STU0097,Student_0097,EEE,4,B,Male,Hostel
