subject,total_records,attendance_percentage
CAD,3701,82.11294244798702
Circuits,3494,81.68288494562105
Concrete,3370,82.99703264094956
Control Systems,3473,81.54333429311833
DBMS,10786,81.0587798998702
DSA,3883,82.02420808653103
Digital Electronics,3426,81.52364273204904
Geotechnical,3506,82.9435253850542
Machine Learning,3480,82.18390804597702
Machines,3410,82.43401759530792
Manufacturing,3720,81.72043010752688
Mechanics,3639,80.81890629293763
Microprocessors,3556,82.22722159730034
Networks,6966,81.79730117714614
OS,3843,81.73302107728337
Power Systems,3423,82.90972830850131
Python,10913,81.8015211215981
Signals,3513,80.95644748078566
Statistics,3547,82.09754722300535
Structures,3566,82.58553000560852
Surveying,3558,81.87183811129847
Thermodynamics,3690,82.05962059620596
Web Development,3537,82.3579304495335
